t,u,e
90.3001,1.51413102692,-0.0517635257933
90.4001,1.5130334571,-0.0521823839234
90.5001,1.5119430186,-0.0525966356023
90.6001,1.51085973164,-0.0530062818839
90.7001,1.50978361143,-0.0534113262667
90.8001,1.50871466811,-0.0538117747097
90.9001,1.50765290668,-0.0542076356471
91.0001,1.50659832697,-0.0545989200034
91.1001,1.50555092358,-0.0549856412096
91.2001,1.50451073007,-0.0553677966064
91.3001,1.50347776831,-0.0557453887458
91.4001,1.50245198211,-0.056118453321
91.5001,1.50143335363,-0.0564870101775
91.6001,1.50042186044,-0.0568510813625
91.7001,1.49941747555,-0.0572106911243
91.8001,1.49842016739,-0.0575658659106
91.9001,1.49742989975,-0.0579166343674
92.0001,1.49644663187,-0.0582630273379
92.1001,1.49547031833,-0.0586050778613
92.2001,1.49450092386,-0.0589428160136
92.3001,1.4935384858,-0.0592762470885
92.4001,1.49258288593,-0.0596054312763
92.5001,1.49163406956,-0.0599304071455
92.6001,1.49069197826,-0.0602512151213
92.7001,1.48975654996,-0.0605678974693
92.8001,1.4888277189,-0.0608804982799
92.9001,1.48790541574,-0.0611890634525
93.0001,1.48698956751,-0.0614936406794
93.1001,1.48608009773,-0.0617942794302
93.2001,1.48517692636,-0.0620910309355
93.3001,1.48427997574,-0.0623839239459
93.4001,1.48338915671,-0.0626730221765
93.5001,1.48250437857,-0.062958383362
93.6001,1.48162554812,-0.0632400630712
93.7001,1.4807525689,-0.0635181183027
93.8001,1.47988534114,-0.0637926074582
93.9001,1.47902376187,-0.0640635903162
94.0001,1.47816772491,-0.0643311280049
94.1001,1.4773171209,-0.0645952829761
94.2001,1.47647183737,-0.0648561189782
94.3001,1.47563179691,-0.0651136863274
94.4001,1.4747968979,-0.0653680447398
94.5001,1.47396699797,-0.0656192696666
94.6001,1.47314197895,-0.0658674272835
94.7001,1.47232172034,-0.0661125846794
94.8001,1.47150609943,-0.0663548098182
94.9001,1.4706949913,-0.0665941715021
95.0001,1.46988826892,-0.0668307393334
95.1001,1.46908580321,-0.0670645836778
95.2001,1.4682874631,-0.0672957756263
95.3001,1.46749313778,-0.0675243819452
95.4001,1.46670276745,-0.0677504581181
95.5001,1.46591616456,-0.0679740886742
95.6001,1.4651331996,-0.0681953452161
95.7001,1.46435374233,-0.0684142996779
95.8001,1.46357766182,-0.0686310242795
95.9001,1.46280482659,-0.0688455914798
96.0001,1.4620351047,-0.06905807393
96.1001,1.46126836387,-0.0692685444274
96.2001,1.46050447154,-0.0694770758691
96.3001,1.45974329502,-0.069683741205
96.4001,1.45898465167,-0.069888609509
96.5001,1.45822843384,-0.0700917556459
96.6001,1.45747450782,-0.070293252355
96.7001,1.45672273661,-0.070493171965
