t,i
0.,9.11051267202e-11
0.1001,9.55543868786e-05
0.2001,0.000197467625151
0.3001,0.000306186041741
0.4001,0.00042189692869
0.5001,0.000544571568496
0.6001,0.000674273676794
0.7001,0.000811136812943
0.8001,0.000955436512511
0.9001,0.00110743455092
1.0001,0.0012676762143
1.1001,0.001436532793
1.2001,0.00161498171104
1.3001,0.00180353111726
1.4001,0.00200365338858
1.5001,0.00221610581397
1.6001,0.00244278352464
1.7001,0.0026849009528
1.8001,0.0029448340963
1.9001,0.00322432746547
2.0001,0.00352624049749
2.1001,0.00385294515135
2.2001,0.00420779120951
2.3001,0.00459411912766
2.4001,0.0050156859998
2.5001,0.00547709410211
2.6001,0.00598258230191
2.7001,0.00653765053522
2.8001,0.00714773355467
2.9001,0.00781898743862
3.0001,0.00855843540366
3.1001,0.00937327243163
3.2001,0.0102716791817
3.3001,0.0112628120146
3.4001,0.0123559412242
3.5001,0.0135614135285
3.6001,0.014890651058
3.7001,0.0163555759083
3.8001,0.0179693075206
3.9001,0.0197458984776
4.0001,0.0217003716548
4.1001,0.0238487584654
4.2001,0.0262081024851
4.3001,0.0287964417051
4.4001,0.0316328234929
4.5001,0.0347371378809
4.6001,0.0381301716238
4.7001,0.0418335137412
4.8001,0.0458692147107
4.9001,0.0502601173074
5.0001,0.0550290006691
5.1001,0.0601976625153
5.2001,0.0657886795003
5.3001,0.071822433597
5.4001,0.0783184685607
5.5001,0.0852947298748
5.6001,0.0927639206851
5.7001,0.100737993599
5.8001,0.109223006306
5.9001,0.118219109655
6.0001,0.127722270469
6.1001,0.137718556304
6.2001,0.148187959061
6.3001,0.159101062467
6.4001,0.170417977157
6.5001,0.18208862998
6.6001,0.194052770942
6.7001,0.206238132577
6.8001,0.218559624052
6.9001,0.230924996746
7.0001,0.24322540336
7.1001,0.255349639155
7.2001,0.267176312101
7.3001,0.27857409476
7.4001,0.289408296685
7.5001,0.299536343834
7.6001,0.308825634785
7.7001,0.317135520036
7.8001,0.324334030053
7.9001,0.330295957136
8.0001,0.334903559633
8.1001,0.338051180519
8.2001,0.339645881988
8.3001,0.339609007635
8.4001,0.337878091774
8.5001,0.334408669036
8.6001,0.329174894017
8.7001,0.32217057274
8.8001,0.313409892472
8.9001,0.302926406187
9.0001,0.290773597445
9.1001,0.277023898806
9.2001,0.261767655324
9.3001,0.245112535016
9.4001,0.227181976563
9.5001,0.208113552221
9.6001,0.188057711768
9.7001,0.167175584324
9.8001,0.145637107575
9.9001,0.123619273052
10.0001,0.101303786952
10.1001,0.0788751569058
10.2001,0.0565186592604
10.3001,0.03441821043
10.4001,0.012754483136
10.5001,-0.00829710376602
10.6001,-0.0285681288676
10.7001,-0.0478988246963
10.8001,-0.0661398801267
10.9001,-0.0831536013381
11.0001,-0.0988152670272
11.1001,-0.113014504799
11.2001,-0.125655834632
11.3001,-0.136659670534
11.4001,-0.145963042492
11.5001,-0.153519639759
11.6001,-0.15930034191
11.7001,-0.163293246792
11.8001,-0.165503272471
11.9001,-0.165952183317
12.0001,-0.164677972735
12.1001,-0.16173409248
12.2001,-0.157188985882
12.3001,-0.151124947359
12.4001,-0.143637054571
12.5001,-0.134832268522
12.6001,-0.124827938259
12.7001,-0.113750522085
12.8001,-0.101734352405
12.9001,-0.0889199771261
13.0001,-0.0754527628884
13.1001,-0.061481451547
13.2001,-0.0471565273794
13.3001,-0.032628800213
13.4001,-0.0180479386739
13.5001,-0.00356113499611
13.6001,0.010688480214
13.7001,0.0245630756582
13.8001,0.0379314350248
13.9001,0.050670701622
14.0001,0.0626652162836
14.1001,0.0738100005212
14.2001,0.0840116416565
14.3001,0.0931862621231
14.4001,0.101264895689
14.5001,0.108188014696
14.6001,0.113909064078
14.7001,0.118396168709
14.8001,0.121626008317
14.9001,0.123592028097
15.0001,0.124299205723
15.1001,0.123766333453
15.2001,0.122023722302
15.3001,0.119110731739
15.4001,0.115081456724
15.5001,0.109994863552
15.6001,0.103922641369
15.7001,0.0969442148734
15.8001,0.0891470613558
15.9001,0.0806254271704
16.0001,0.0714760849062
16.1001,0.0618031048907
16.2001,0.0517118719018
16.3001,0.0413101118206
16.4001,0.0307068352497
16.5001,0.0200110957208
16.6001,0.00933059885629
16.7001,-0.00122956024668
16.8001,-0.0115673450812
16.9001,-0.0215848516095
17.0001,-0.0311891861159
17.1001,-0.0402939665568
17.2001,-0.0488183112466
17.3001,-0.056690134963
17.4001,-0.0638441966415
17.5001,-0.0702241563806
17.6001,-0.0757829339432
17.7001,-0.0804806338677
17.8001,-0.0842890619276
17.9001,-0.0871873431192
18.0001,-0.0891657048788
18.1001,-0.0902229893271
18.2001,-0.0903659605669
18.3001,-0.0896124135849
18.4001,-0.0879866946832
18.5001,-0.0855233133216
18.6001,-0.0822628195956
18.7001,-0.0782527734244
18.8001,-0.0735483947479
18.9001,-0.068209513054
19.0001,-0.0623024967529
19.1001,-0.055896226048
19.2001,-0.0490640427341
19.3001,-0.0418822038596
19.4001,-0.0344286855881
19.5001,-0.0267830819527
19.6001,-0.0190242544718
19.7001,-0.0112313522981
19.8001,-0.00348205880408
19.9001,0.00414800586153
20.0001,0.0115859425009
20.1001,0.018761929207
20.2001,0.0256105079274
20.3001,0.0320700328735
20.4001,0.0380845561333
20.5001,0.0436027833787
20.6001,0.0485800078582
20.7001,0.0529775800201
20.8001,0.0567639651699
20.9001,0.0599137197589
21.0001,0.0624085741619
21.1001,0.064237196552
21.2001,0.0653945769609
21.3001,0.0658822716141
21.4001,0.0657085557609
21.5001,0.0648881130411
21.6001,0.0634418042536
21.7001,0.0613965109874
21.8001,0.0587842848969
21.9001,0.0556423916349
22.0001,0.0520123390069
22.1001,0.0479396998677
22.2001,0.0434734921778
22.3001,0.0386656602754
22.4001,0.0335705261566
22.5001,0.0282442019924
22.6001,0.0227439475435
22.7001,0.0171276553442
22.8001,0.0114531672726
22.9001,0.00577777943332
23.0001,0.000157629870616
23.1001,-0.00535276608376
23.2001,-0.0107010863626
23.3001,-0.0158376359486
23.4001,-0.0207157662719
23.5001,-0.0252923742806
23.6001,-0.0295281349373
23.7001,-0.0333878927891
23.8001,-0.036840944136
23.9001,-0.039861140206
24.0001,-0.0424272180828
24.1001,-0.0445227814532
24.2001,-0.0461363744693
24.3001,-0.0472616436811
24.4001,-0.047897084205
24.5001,-0.0480461229168
24.6001,-0.0477169390933
24.7001,-0.0469222156302
24.8001,-0.0456790801264
24.9001,-0.0440086958316
25.0001,-0.0419360203501
25.1001,-0.0394895706616
25.2001,-0.036700915439
25.3001,-0.0336044348083
25.4001,-0.0302368590562
25.5001,-0.0266368522295
